time_period,time_identifier,geographic_level,country_code,country_name,gender,subject,mode_of_study,level,domicile,t_students
202122,Academic year,National,K02000001,United Kingdom,Female,"Media, journalism and communications",Full-time,Masters and Others,Total,7480
202122,Academic year,National,K02000001,United Kingdom,Female,"Media, journalism and communications",Full-time,Other Undergraduate,Total,445
202122,Academic year,National,K02000001,United Kingdom,Female,"Media, journalism and communications",Full-time,PhD and equivalent,Total,490
202122,Academic year,National,K02000001,United Kingdom,Female,"Media, journalism and communications",Part-time,First degree,Total,330
202122,Academic year,National,K02000001,United Kingdom,Female,"Media, journalism and communications",Part-time,Masters and Others,Total,1525
202122,Academic year,National,K02000001,United Kingdom,Female,"Media, journalism and communications",Part-time,Other Undergraduate,Total,125
202122,Academic year,National,K02000001,United Kingdom,Female,"Media, journalism and communications",Part-time,PhD and equivalent,Total,220
202122,Academic year,National,K02000001,United Kingdom,Female,Medicine and dentistry,Full-time,First degree,Total,36465
202122,Academic year,National,K02000001,United Kingdom,Female,Medicine and dentistry,Full-time,Masters and Others,Total,3635
202122,Academic year,National,K02000001,United Kingdom,Female,Medicine and dentistry,Full-time,Other Undergraduate,Total,1230
202122,Academic year,National,K02000001,United Kingdom,Female,Medicine and dentistry,Full-time,PhD and equivalent,Total,3440
202122,Academic year,National,K02000001,United Kingdom,Female,Medicine and dentistry,Part-time,First degree,Total,190
202122,Academic year,National,K02000001,United Kingdom,Female,Medicine and dentistry,Part-time,Masters and Others,Total,6695
202122,Academic year,National,K02000001,United Kingdom,Female,Medicine and dentistry,Part-time,Other Undergraduate,Total,660
202122,Academic year,National,K02000001,United Kingdom,Female,Medicine and dentistry,Part-time,PhD and equivalent,Total,815
202122,Academic year,National,K02000001,United Kingdom,Female,Physical sciences,Full-time,First degree,Total,23450
202122,Academic year,National,K02000001,United Kingdom,Female,Physical sciences,Full-time,Masters and Others,Total,2120
202122,Academic year,National,K02000001,United Kingdom,Female,Physical sciences,Full-time,Other Undergraduate,Total,2645
202122,Academic year,National,K02000001,United Kingdom,Female,Physical sciences,Full-time,PhD and equivalent,Total,3045
202122,Academic year,National,K02000001,United Kingdom,Female,Physical sciences,Part-time,First degree,Total,2275
202122,Academic year,National,K02000001,United Kingdom,Female,Physical sciences,Part-time,Masters and Others,Total,530
202122,Academic year,National,K02000001,United Kingdom,Female,Physical sciences,Part-time,Other Undergraduate,Total,760
202122,Academic year,National,K02000001,United Kingdom,Female,Physical sciences,Part-time,PhD and equivalent,Total,185
202122,Academic year,National,K02000001,United Kingdom,Female,Psychology,Full-time,First degree,Total,62675
202122,Academic year,National,K02000001,United Kingdom,Female,Psychology,Full-time,Masters and Others,Total,12225
202122,Academic year,National,K02000001,United Kingdom,Female,Psychology,Full-time,Other Undergraduate,Total,3605
202122,Academic year,National,K02000001,United Kingdom,Female,Psychology,Full-time,PhD and equivalent,Total,4560
202122,Academic year,National,K02000001,United Kingdom,Female,Psychology,Part-time,First degree,Total,20910
202122,Academic year,National,K02000001,United Kingdom,Female,Psychology,Part-time,Masters and Others,Total,11515
202122,Academic year,National,K02000001,United Kingdom,Female,Psychology,Part-time,Other Undergraduate,Total,5600
202122,Academic year,National,K02000001,United Kingdom,Female,Psychology,Part-time,PhD and equivalent,Total,1140
202122,Academic year,National,K02000001,United Kingdom,Female,Social sciences,Full-time,First degree,Total,112430
202122,Academic year,National,K02000001,United Kingdom,Female,Social sciences,Full-time,Masters and Others,Total,25105
202122,Academic year,National,K02000001,United Kingdom,Female,Social sciences,Full-time,Other Undergraduate,Total,9375
202122,Academic year,National,K02000001,United Kingdom,Female,Social sciences,Full-time,PhD and equivalent,Total,3190
202122,Academic year,National,K02000001,United Kingdom,Female,Social sciences,Part-time,First degree,Total,17040
202122,Academic year,National,K02000001,United Kingdom,Female,Social sciences,Part-time,Masters and Others,Total,17195
202122,Academic year,National,K02000001,United Kingdom,Female,Social sciences,Part-time,Other Undergraduate,Total,9870
202122,Academic year,National,K02000001,United Kingdom,Female,Social sciences,Part-time,PhD and equivalent,Total,1775
202122,Academic year,National,K02000001,United Kingdom,Female,Subjects allied to medicine,Full-time,First degree,Total,165850
202122,Academic year,National,K02000001,United Kingdom,Female,Subjects allied to medicine,Full-time,Masters and Others,Total,23700
202122,Academic year,National,K02000001,United Kingdom,Female,Subjects allied to medicine,Full-time,Other Undergraduate,Total,9670
202122,Academic year,National,K02000001,United Kingdom,Female,Subjects allied to medicine,Full-time,PhD and equivalent,Total,3315
202122,Academic year,National,K02000001,United Kingdom,Female,Subjects allied to medicine,Part-time,First degree,Total,16465
202122,Academic year,National,K02000001,United Kingdom,Female,Subjects allied to medicine,Part-time,Masters and Others,Total,49150
202122,Academic year,National,K02000001,United Kingdom,Female,Subjects allied to medicine,Part-time,Other Undergraduate,Total,23880
202122,Academic year,National,K02000001,United Kingdom,Female,Subjects allied to medicine,Part-time,PhD and equivalent,Total,1540
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Full-time,First degree,Overseas students,145035
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Full-time,First degree,Total,949335
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Full-time,First degree,UK students,804305
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Full-time,Masters and Others,Overseas students,156885
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Full-time,Masters and Others,Total,251925
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Full-time,Masters and Others,UK students,95035
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Full-time,Other Undergraduate,Overseas students,4570
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Full-time,Other Undergraduate,Total,66600
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Full-time,Other Undergraduate,UK students,62030
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Full-time,PhD and equivalent,Overseas students,19220
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Full-time,PhD and equivalent,Total,40475
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Full-time,PhD and equivalent,UK students,21255
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Part-time,First degree,Overseas students,2485
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Part-time,First degree,Total,125830
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Part-time,First degree,UK students,123345
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Part-time,Masters and Others,Overseas students,11355
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Part-time,Masters and Others,Total,164630
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Part-time,Masters and Others,UK students,153280
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Part-time,Other Undergraduate,Overseas students,7865
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Part-time,Other Undergraduate,Total,81580
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Part-time,Other Undergraduate,UK students,73715
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Part-time,PhD and equivalent,Overseas students,2130
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Part-time,PhD and equivalent,Total,14195
202122,Academic year,National,K02000001,United Kingdom,Female,Total,Part-time,PhD and equivalent,UK students,12065
202122,Academic year,National,K02000001,United Kingdom,Female,Veterinary sciences,Full-time,First degree,Total,7720
202122,Academic year,National,K02000001,United Kingdom,Female,Veterinary sciences,Full-time,Masters and Others,Total,180
202122,Academic year,National,K02000001,United Kingdom,Female,Veterinary sciences,Full-time,Other Undergraduate,Total,480
202122,Academic year,National,K02000001,United Kingdom,Female,Veterinary sciences,Full-time,PhD and equivalent,Total,160
202122,Academic year,National,K02000001,United Kingdom,Female,Veterinary sciences,Part-time,First degree,Total,125
