time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,pupil_teacher_ratio
201718,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,15.7
201718,Academic year,Regional,E92000001,England,E12000001,North East,Special,6.8
201718,Academic year,Regional,E92000001,England,E12000001,North East,Total maintained,17.5
201718,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,21.7
201718,Academic year,Regional,E92000001,England,E12000002,North West,Primary,21.2
201718,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,15.6
201718,Academic year,Regional,E92000001,England,E12000002,North West,Special,6.5
201718,Academic year,Regional,E92000001,England,E12000002,North West,Total maintained,17.9
201718,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,23.4
201718,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,21.6
201718,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,16.4
201718,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,6.8
201718,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total maintained,18.6
201718,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,21.9
201718,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,21.5
201718,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,16.3
201718,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,6.6
201718,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total maintained,18.5
201718,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,23.7
201718,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,21.3
201718,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,15.7
201718,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,6.6
201718,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total maintained,17.9
201718,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,24
201718,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,20.9
201718,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,16.2
201718,Academic year,Regional,E92000001,England,E12000006,East of England,Special,6
201718,Academic year,Regional,E92000001,England,E12000006,East of England,Total maintained,18
201718,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,21.3
201718,Academic year,Regional,E92000001,England,E12000008,South East,Primary,21
201718,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,16.3
201718,Academic year,Regional,E92000001,England,E12000008,South East,Special,5.9
201718,Academic year,Regional,E92000001,England,E12000008,South East,Total maintained,18.1
201718,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,18.6
201718,Academic year,Regional,E92000001,England,E12000009,South West,Primary,20.5
201718,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,16.5
201718,Academic year,Regional,E92000001,England,E12000009,South West,Special,5.7
201718,Academic year,Regional,E92000001,England,E12000009,South West,Total maintained,17.9
201718,Academic year,Regional,E92000001,England,E13000001,Inner London,Nursery,18.4
201718,Academic year,Regional,E92000001,England,E13000001,Inner London,Primary,18.4
201718,Academic year,Regional,E92000001,England,E13000001,Inner London,Secondary,13.9
201718,Academic year,Regional,E92000001,England,E13000001,Inner London,Special,5.1
201718,Academic year,Regional,E92000001,England,E13000001,Inner London,Total maintained,15.7
201718,Academic year,Regional,E92000001,England,E13000002,Outer London,Nursery,21.5
201718,Academic year,Regional,E92000001,England,E13000002,Outer London,Primary,20.6
201718,Academic year,Regional,E92000001,England,E13000002,Outer London,Secondary,15.7
201718,Academic year,Regional,E92000001,England,E13000002,Outer London,Special,5.6
201718,Academic year,Regional,E92000001,England,E13000002,Outer London,Total maintained,17.6
201819,Academic year,National,E92000001,England,,,Nursery,22.8
201819,Academic year,National,E92000001,England,,,Primary,20.9
201819,Academic year,National,E92000001,England,,,Secondary,16.3
201819,Academic year,National,E92000001,England,,,Special,6.2
201819,Academic year,National,E92000001,England,,,Total maintained,18
