time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,gender,t_fte_teachers
201516,Academic year,Regional,E92000001,England,E12000008,South East,Primary,Male,4757.337493
201516,Academic year,Regional,E92000001,England,E12000008,South East,Primary,Total,34098.068846
201516,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,Female,20064.0093
201516,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,Male,12063.75269
201516,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,Total,32139.87129
201516,Academic year,Regional,E92000001,England,E12000008,South East,Special,Female,2692.394579
201516,Academic year,Regional,E92000001,England,E12000008,South East,Special,Male,968.5154211
201516,Academic year,Regional,E92000001,England,E12000008,South East,Special,Total,3660.91
201516,Academic year,Regional,E92000001,England,E12000008,South East,Total,Female,52954.93523
201516,Academic year,Regional,E92000001,England,E12000008,South East,Total,Male,17942.30561
201516,Academic year,Regional,E92000001,England,E12000008,South East,Total,Total,70909.35013
201516,Academic year,Regional,E92000001,England,E12000008,South East,Total maintained,Female,52954.93523
201516,Academic year,Regional,E92000001,England,E12000008,South East,Total maintained,Male,17942.30561
201516,Academic year,Regional,E92000001,England,E12000008,South East,Total maintained,Total,70909.35013
201516,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,Female,89.27
201516,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,Male,10.1
201516,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,Total,99.37
201516,Academic year,Regional,E92000001,England,E12000009,South West,Primary,Female,16474.621418
201516,Academic year,Regional,E92000001,England,E12000009,South West,Primary,Male,3591.543357
201516,Academic year,Regional,E92000001,England,E12000009,South West,Primary,Total,20067.164775
201516,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,Female,12144.37402
201516,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,Male,7754.125982
201516,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,Total,19904.1
201516,Academic year,Regional,E92000001,England,E12000009,South West,Special,Female,1348.976667
201516,Academic year,Regional,E92000001,England,E12000009,South West,Special,Male,584.2933333
201516,Academic year,Regional,E92000001,England,E12000009,South West,Special,Total,1933.27
201516,Academic year,Regional,E92000001,England,E12000009,South West,Total,Female,30341.7621
201516,Academic year,Regional,E92000001,England,E12000009,South West,Total,Male,12023.84267
201516,Academic year,Regional,E92000001,England,E12000009,South West,Total,Total,42372.20477
201516,Academic year,Regional,E92000001,England,E12000009,South West,Total maintained,Female,30341.7621
201516,Academic year,Regional,E92000001,England,E12000009,South West,Total maintained,Male,12023.84267
201516,Academic year,Regional,E92000001,England,E12000009,South West,Total maintained,Total,42372.20477
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Nursery,Female,182.88
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Nursery,Male,18.68
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Nursery,Total,201.56
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Primary,Female,11182.9006382
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Primary,Male,2593.9400928
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Primary,Total,13776.84073
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Secondary,Female,7657.711283
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Secondary,Male,4775.650833
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Secondary,Total,12443.81643
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Special,Female,990.8416143
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Special,Male,471.2683857
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Special,Total,1462.11
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Total,Female,20143.46354
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Total,Male,7912.109311
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Total,Total,28066.02716
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Total maintained,Female,20143.46354
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Total maintained,Male,7912.109311
201516,Academic year,Regional,E92000001,England,E13000001,Inner London,Total maintained,Total,28066.02716
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Nursery,Female,102.05
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Nursery,Male,5.6
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Nursery,Total,107.65
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Primary,Female,19537.840299
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Primary,Male,3380.7422954
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Primary,Total,22922.202594
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Secondary,Female,14142.15999
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Secondary,Male,8344.81688
