time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,t_schools
201718,Academic year,Regional,E92000001,England,E12000007,London,Total,3155
201718,Academic year,Regional,E92000001,England,E12000008,South East,Non-maintained mainstream,536
201718,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,42
201718,Academic year,Regional,E92000001,England,E12000008,South East,Primary,2597
201718,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,511
201718,Academic year,Regional,E92000001,England,E12000008,South East,Special,207
201718,Academic year,Regional,E92000001,England,E12000008,South East,Total,3893
201718,Academic year,Regional,E92000001,England,E12000009,South West,Non-maintained mainstream,215
201718,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,18
201718,Academic year,Regional,E92000001,England,E12000009,South West,Primary,1873
201718,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,344
201718,Academic year,Regional,E92000001,England,E12000009,South West,Special,123
201718,Academic year,Regional,E92000001,England,E12000009,South West,Total,2573
201819,Academic year,National,E92000001,England,,,Non-maintained mainstream,2377
201819,Academic year,National,E92000001,England,,,Nursery,391
201819,Academic year,National,E92000001,England,,,Primary,16769
201819,Academic year,National,E92000001,England,,,Secondary,3448
201819,Academic year,National,E92000001,England,,,Special,1338
201819,Academic year,National,E92000001,England,,,Total,24323
201819,Academic year,Regional,E92000001,England,E12000001,North East,Non-maintained mainstream,50
201819,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,32
201819,Academic year,Regional,E92000001,England,E12000001,North East,Primary,857
201819,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,181
201819,Academic year,Regional,E92000001,England,E12000001,North East,Special,80
201819,Academic year,Regional,E92000001,England,E12000001,North East,Total,1200
201819,Academic year,Regional,E92000001,England,E12000002,North West,Non-maintained mainstream,263
201819,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,67
201819,Academic year,Regional,E92000001,England,E12000002,North West,Primary,2448
201819,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,472
201819,Academic year,Regional,E92000001,England,E12000002,North West,Special,208
201819,Academic year,Regional,E92000001,England,E12000002,North West,Total,3458
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Non-maintained mainstream,144
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,27
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,1776
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,325
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,116
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total,2388
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands,Non-maintained mainstream,158
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,32
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,1636
