time_period,time_identifier,geographic_level,country_code,country_name,education_function,expenditure_type,expenditure_level,t_expenditure_millions,t_expenditure_real_terms_millions,pt_expenditure_of_gdp
201617,Financial year,National,K02000001,United Kingdom,Research & Development education,Current,Local,z,z,z
201617,Financial year,National,K02000001,United Kingdom,Research & Development education,Capital,Local,z,z,z
201617,Financial year,National,K02000001,United Kingdom,Research & Development education,Total,Local,z,z,z
201617,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Current,Local,27.026,z,z
201617,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Capital,Local,z,z,z
201617,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Total,Local,27.026,z,z
201617,Financial year,National,K02000001,United Kingdom,Total,Current,Local,40723.347000000002,z,z
201617,Financial year,National,K02000001,United Kingdom,Total,Capital,Local,4314.58,z,z
201617,Financial year,National,K02000001,United Kingdom,Total,Total,Local,45037.926999999996,z,z
201617,Financial year,National,K02000001,United Kingdom,Under fives,Current,Central,83.010999999999996,z,z
201617,Financial year,National,K02000001,United Kingdom,Under fives,Capital,Central,2.8719999999999999,z,z
201617,Financial year,National,K02000001,United Kingdom,Under fives,Total,Central,85.882999999999996,z,z
201617,Financial year,National,K02000001,United Kingdom,Primary education,Current,Central,669.48599999999999,z,z
201617,Financial year,National,K02000001,United Kingdom,Primary education,Capital,Central,65.614999999999995,z,z
201617,Financial year,National,K02000001,United Kingdom,Primary education,Total,Central,735.101,z,z
201617,Financial year,National,K02000001,United Kingdom,Secondary education,Current,Central,27477.844000000001,z,z
201617,Financial year,National,K02000001,United Kingdom,Secondary education,Capital,Central,174.68800000000002,z,z
201617,Financial year,National,K02000001,United Kingdom,Secondary education,Total,Central,27652.531999999999,z,z
201617,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Current,Central,z,z,z
201617,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Capital,Central,z,z,z
201617,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Total,Central,z,z,z
201617,Financial year,National,K02000001,United Kingdom,Tertiary education,Current,Central,5493.9849999999997,z,z
201617,Financial year,National,K02000001,United Kingdom,Tertiary education,Capital,Central,571.90499999999997,z,z
201617,Financial year,National,K02000001,United Kingdom,Tertiary education,Total,Central,6065.89,z,z
201617,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Current,Central,473.26300000000003,z,z
201617,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Capital,Central,1.837,z,z
201617,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Total,Central,475.1,z,z
201617,Financial year,National,K02000001,United Kingdom,Research & Development education,Current,Central,-0.498,z,z
201617,Financial year,National,K02000001,United Kingdom,Research & Development education,Capital,Central,1703.654,z,z
201617,Financial year,National,K02000001,United Kingdom,Research & Development education,Total,Central,1703.1559999999999,z,z
201617,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Current,Central,1602.3990000000001,z,z
201617,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Capital,Central,739.64700000000005,z,z
